#fileName	intercept	slope	chi2/ndof
20579	-0.0000226042	0.0000007668	1.5212832695
20580	-0.0000223213	0.0000007592	1.5343503840
20581	-0.0000225781	0.0000007650	1.6192583370
20582	-0.0000227429	0.0000007676	1.1358017228
20583	-0.0000229020	0.0000007696	1.5692325218
20584	-0.0000227717	0.0000007638	0.9642582530
20585	-0.0000227392	0.0000007654	1.3476196463
20586	-0.0000237379	0.0000007681	1.8069274630
20587	-0.0000240391	0.0000007793	0.6337622502
20588	-0.0000236647	0.0000007648	2.0963438880
20589	-0.0000238697	0.0000007669	1.9794717619
20590	-0.0000237276	0.0000007634	1.6731254724
20591	-0.0000240062	0.0000007710	1.5010522176
20592	-0.0000240244	0.0000007710	1.5150906454
20593	-0.0000238145	0.0000007629	1.6354115139
20594	-0.0000245877	0.0000007816	2.0846242794
20595	-0.0000243978	0.0000007760	1.5482855778
20596	-0.0000245224	0.0000007760	2.0235014807
20597	-0.0000244500	0.0000007714	1.6266740826
20598	-0.0000242425	0.0000007626	1.1898915617
20599	-0.0000225328	0.0000007594	2.2151172667
20600	-0.0000228758	0.0000007655	1.7537368243
20601	-0.0000229506	0.0000007683	1.5732836755
20602	-0.0000232198	0.0000007748	1.9894054940
20603	-0.0000232758	0.0000007746	2.2443432580
20604	-0.0000228561	0.0000007557	1.3612254492
20605	-0.0000227356	0.0000007528	1.5146179302
20606	-0.0000231366	0.0000007630	1.4151751778
20607	-0.0000235667	0.0000007763	1.3877091998
20608	-0.0000237934	0.0000007837	1.4125607548
20609	-0.0000231973	0.0000007586	0.9788494333
20610	-0.0000233903	0.0000007654	2.4327723541
20611	-0.0000233707	0.0000007626	1.4470429250
20612	-0.0000238742	0.0000007782	2.2036496770
20613	-0.0000252324	0.0000008303	1.2628988913
20614	-0.0000247010	0.0000008139	2.7454080860
20615	-0.0000253833	0.0000008315	1.8767849497
20616	-0.0000248095	0.0000008104	1.2784641247
20617	-0.0000248547	0.0000008121	1.6923371563
20618	-0.0000248386	0.0000008082	2.0416633615
20619	-0.0000250501	0.0000008110	1.9009014877
20620	-0.0000245543	0.0000007928	1.3017096832
20621	-0.0000244513	0.0000007894	2.0260891810
20622	-0.0000246454	0.0000007935	1.3067849177
20623	-0.0000249573	0.0000007988	1.1232361994
20624	-0.0000247153	0.0000007919	1.6503116952
20625	-0.0000252307	0.0000008051	1.3279375492
20626	-0.0000246493	0.0000007843	1.2255855424
20627	-0.0000242735	0.0000007711	0.6532423351
20628	-0.0000246577	0.0000007810	1.4594652146
20629	-0.0000243622	0.0000007721	1.5118966904
20630	-0.0000248175	0.0000007840	1.7932098857
20631	-0.0000244880	0.0000007717	2.1424467495
20632	-0.0000247333	0.0000007782	1.1988098387
20633	-0.0000225984	0.0000007849	1.6361117879
20634	-0.0000223564	0.0000007742	1.0392219836
20635	-0.0000227232	0.0000007844	1.5706198348
20636	-0.0000221600	0.0000007635	1.2966667037
20637	-0.0000227173	0.0000007821	2.3466587487
20638	-0.0000226970	0.0000007768	1.3911792666
20639	-0.0000226707	0.0000007756	1.5215731723
20640	-0.0000230223	0.0000007835	0.9777948194
20641	-0.0000232780	0.0000007874	1.4624272789
20642	-0.0000224559	0.0000007608	1.5116516511
20643	-0.0000225630	0.0000007616	1.2670165347
20644	-0.0000228664	0.0000007715	1.0014937609
20645	-0.0000229349	0.0000007718	1.0198752849
20646	-0.0000229208	0.0000007685	1.5483512117
20647	-0.0000232417	0.0000007787	1.0347015856
20648	-0.0000236107	0.0000007779	1.9781334679
20649	-0.0000234737	0.0000007800	1.8771524860
20650	-0.0000232078	0.0000007711	1.1192353453
20651	-0.0000236389	0.0000007851	1.8151297286
